citation,artist
"Hanté par le passé, pressé d'avoir Alzheimer",Zone
"Déjà, les soirées où j'suis sûr de pas baiser, j'en ai trop fait au lycée, j'ai d'jà envisagé des cousines, quitte à risquer l'triso",Défaite de famille
J'ai l'impression de vivre dans un film où j'ai raté l'casting,C'est toujours 2 connards dans un abribus
"Un jour, t'as beaucoup plus de remords que d'désirs",La fête est finie
"Être un homme, c'est garder une part d'enfant, tu sombres dès qu't'ignores c'que la vie t'apprend",Fantômes
"Matin-midi-soir : nouilles instantanées;
apprenti sorcier je viens passer le balai","nouilles instantanées;
apprenti sorcier je viens passer le balai~OrelsanSource"
"Qu'est-ce que j'irais faire au paradis quand tu t'endors près de moi ? Qu'ils le donnent à d'autres, le paradis, je n'en voudrais pas",Paradis
La plupart des choses dont rêvent les gens d'ici m'feraient mourir d'ennui,"J'essaye, j'essaye"
"Son plan était parfait, mon destin tracé depuis l'enfance :
Il a juste oublié de m'demander c'que j'en pense","
Il a juste oublié de m'demander c'que j'en pense~OrelsanSource"
"Pendant qu'mon patron m'pousse à souiller tous mes principes:
Mais c'est mon job, j'passe l'éponge","
Mais c'est mon job, j'passe l'éponge~OrelsanSource"
"J'fais semblant d'écouter personne, mais c'est seulement parce que j'ai peur de c'qu'ils disent de moi","J'essaye, j'essaye"
"Certaines relations sont néfastes, parfois, les chemins s'séparent mais les erreurs se réparent, et la ligne d'arrivée est souvent la ligne de départ",Épilogue
"Rappelle-toi qui tu snobais quand tu montais, c'est les mêmes que tu croiseras dans la descente",Rêves bizarres
"On dit qu'le temps détruit mais l'temps n'est pas notre ennemi, parce que plus j'te connais et plus j'me sens béni",Paradis
Mais si t'écoutes les personnes qui dorment les rêves n'arrivent jamais,Inachevés
"À l'âge où j'ai eu mon premier scooter, mes grands-parents plongeaient dans un ravin quand ils entendaient un réacteur. Ma grand-mère a le même téléphone que ton dealer",Mes grands-parents
"Un jour, tu trouves la Vodka/Redbull dégueulasse, la musique est trop forte, tu connais aucun son qui passe",La fête est finie
"Donc écoute bien les conseillers d'orientation et fais l'opposé d'c'qu'ils diront. En gros, tous les trucs où les gens disent : Tu perds ton temps, faut qu'tu t'mettes à fond d'dans et qu'tu t'accroches longtemps","Tu perds ton temps, faut qu'tu t'mettes à fond d'dans et qu'tu t'accroches longtemps~OrelsanSource"
"Un jour, on est venus au monde,
depuis, on attend qu'le monde vienne à nous",À l'heure où je me couche
"J'serai celui qui fait une blague avant d'mourir, celui qui part dans un fou rire",San
"À l'étranger, t'es un étranger, ça sert à rien d'être raciste",Basique
"À toutes ces générations mariées trop tôt, qui m'donnent espoir quand j'vois les couples vieillir ensemble sur les photos","La famille, la famille"
"J'ai vu la haine dans les sourires, vu la tristesse dans les fous rires",Tout ce que je sais
"Ma ville est comme la première copine que j'ai jamais eue, j'peux pas la quitter, pourtant, j'passe mon temps à cracher dessus","Dans ma ville, on traîne"
"Roi dans l'mensonge, esclave dans l'vrai monde",San
On m'appelle Nekfeu quand on m'croise dans la rue,Christophe
"Il a le charisme d'une huître et le physique d'un chanteur de bal:
Comme un gardien de but paraplégique il dégage que dalle","
Comme un gardien de but paraplégique il dégage que dalle~Orelsan & GringeSource"
"Si le monsieur dort dehors, c'est qu'il aime le bruit des voitures, s'il s'amuse à faire le mort, c'est qu'il joue avec les statues",Tout va bien
"Petit, les gens sur les bancs allongés dans les squares, attendent l'arrivée d'un amour dont l'avion a pris du retard",Tout va bien (Remix)
La nuit est noire pour que tu puisses rêver,Tout va bien (Remix)
Ta pétasse a sa robe de mariée sur son profil Tinder,Qui dit mieux
Les mecs du FN ont la même tête que les méchants dans les films,Basique
Les gens les plus intelligents sont pas toujours ceux qui parlent le mieux,Basique
Vos rêves sont mes cauchemars,À l'heure où je me couche
C'est quand on risque de perdre les choses qu'on comprend leur valeur,"La famille, la famille"
"Tant mieux si la route est longue,
on pourra faire un peu plus de détours.
L'avenir appartient à ceux qui s'lèvent à l'heure où j'me couche",À l'heure où je me couche
"Tonton, si tu continues d'faire : Yo, yo avec les doigts chaque fois qu'tu passes à coté d'moi, tu les utiliseras pour la dernière fois","Yo, yo avec les doigts chaque fois qu'tu passes à coté d'moi, tu les utiliseras pour la dernière fois~OrelsanSource"
"J'ai dit : Je t'aime à des connasses qui n'en valaient pas la peine, j'ai jamais dit : Je t'aime à ma mère","Je t'aime à des connasses qui n'en valaient pas la peine, j'ai jamais dit "
"Terroristes sexuelles, elles veulent juste se faire sauter",Zone
Le point commun entre ta meuf et la mienne : sa bite,sa bite~Orelsan & GringeSource
"Pas besoin d'nouveaux potes, j'vois d'jà pas les miens",Quand est-ce que ça s'arrête
"Marre de faire des grands sacrifices, pour des p'tites gloires, sans même savoir savourer la victoire",San
"J'suis dans l'premier Mario, à chaque fois, j'crois qu'j'ai fini l'jeu, ça repart à zéro",San
"J'voudrais être naïf, plus croire mon cœur que mes yeux",Fantômes
"Mes nuits sont blanches, mes idées noires",San
"Un jour, ton pote traîne qu'avec ses collègues de taf, pourtant, c'est l'genre de connards que vous détestiez en classe",La fête est finie
"J'veux jamais t'faire de mal pourtant, j'le fais quand même, c'est comme ça, j'finis toujours par détruire c'que j'aime",Déchiré
T'empêcheras jamais les gens d'parler,Notes pour trop tard
"À chaque fois qu'ils détruisent un bâtiment, ils effacent une partie d'mon passé","Dans ma ville, on traîne"
"Le problème, c'est l'ennui parce que, quand j'suis tout seul, j'peux vite partir en vrille. J'fous rien toute la journée, j'bascule dans la déprime",Dis-moi
"Le passage à l'âge adulte est glissant dans les virages, devenir un homme : y'a pas d'stage, pas d'rattrapage. Maintenant, t'es dans l'grand bain, devine comment on nage","y'a pas d'stage, pas d'rattrapage. Maintenant, t'es dans l'grand bain, devine comment on nage~OrelsanSource"
"Ce soir, j'me mets minable, pourquoi j'me fais si mal ? J'ai fait des rêves bizarres où tu changeais d'visage",Rêves bizarres
Les hommes politiques doivent mentir sinon tu voterais pas pour eux,Basique
"Ta vie, c'est d'la merde, à qui la faute ? T'es figurant dans l'film de la vie d'un autre",Zone
J'travaille beaucoup mieux quelques grammes dans l'sang,Quand ton père t'engueule
La seule personne qui crie mon nom c'est mon père quand j'suis bourré,"J'essaye, j'essaye"
"Tu verras, des fois, tu perdras contre des gars qu'tu trouvais nuls à chier",Notes pour trop tard
"Sois pas parano sur qui sont tes vrais amis, y'a qu'un seul moyen d'le savoir : laisse le temps faire le tri",laisse le temps faire le tri~OrelsanSource
"Laisse-moi tout t'expliquer : le problème, c'est la peur, quand j'm'enfonce dans la nuit, j'cherche la lumière ailleurs","le problème, c'est la peur, quand j'm'enfonce dans la nuit, j'cherche la lumière ailleurs~OrelsanSource"
"Un jour, tu réalises enfin un d'tes fantasmes, et tu ressens comme un vide parce qu'en fait t'as trouvé ça naze",La fête est finie
"J'ai même insulté les bonnes meufs, dans des chansons sur les bonnes meufs, qui m'ont rendues connu comme plein d'bonnes meufs",Bonne meuf
Y'a des combats qu'tu peux pas gagner,Notes pour trop tard
"Le monde est un PMU, où n'importe qui donne son mauvais point d'vue, où la télé passe des infos déjà vues, pendant qu'la radio joue des sons qu'on n'écoute même plus",San
"Les temps changent, les gens changent, mais j'm'ennuie vite, j'aime le changement, j'étais déjà différent",San
"C'est toujours le même style de fille dont tu tombes amoureux, tu sais, le style de fille qui t'rend malheureux",Notes pour trop tard
Ça fait bizarre de voir les gens changer quand tu les as vus grandir. Mais j'vais plus m'inquiéter pour les choses sur lesquelles je sais qu'j'aurai jamais d'emprise,Épilogue
"J'veux faire mal, faire un truc viral, en gros, j'veux faire comme les mecs qu'ont inventé l'SIDA",Zone
"TTTTTTZKUAT:
Désolé j’ai dû m’endormir sur le clavier","
Désolé j’ai dû m’endormir sur le clavier~OrelsanSource"
"Fermez vos gueules, j'ai gagné mes procès, mes textes étaient mieux quand l'juge les posait",Discipline
"Hier et demain sont la même journée, la boucle est bouclée","J'essaye, j'essaye"
"T'en prends jamais au plus faible, garde les vannes dans un coin d'ta tête, ça rentrera dans un texte, dans un film ou dans un sketch",Notes pour trop tard
"J’ai proposé un plan à 3 pour ma chérie depuis j’ai pas de nouvelle;
elle veut pas comprendre qu'j’ai fait ça pour elle:
Va falloir annuler la roumaine","
Va falloir annuler la roumaine~OrelsanSource"
"J'ai plus peur du vide, d'affronter la spirale sans fond:
Donc j'arrête d'arrêter, j'abandonne l'abandon","
Donc j'arrête d'arrêter, j'abandonne l'abandon~Orelsan & GringeSource"
"J'finis pas mes phrases, j'connais pas les points,
j'commence après-demain, j'contrôle pas l'destin.
Rien est assez bien, j'finis jamais rien,
manquerait la moitié des traits si j'devais t'faire un dessin",Inachevés
Même pas sûr d'avoir le mérite d'exister,Freestyle Radio Phoenix
"On t'dira d'être premier, jamais d'être heureux",Notes pour trop tard
Le type est tellement homophobe il caresse pas son chien,C'est toujours 2 connards dans un abribus
"Si c'était si facile, tout le monde le ferait:
Qui tu serais pour réussir où tous les autres ont échoué ?","
Qui tu serais pour réussir où tous les autres ont échoué ?~OrelsanSource"
"Tout le monde me dit qu'j'finirai par changer, j'ai du mal à comprendre comment ils peuvent y croire,
alors que j'suis même pas capable de changer une ampoule, ça fait 6 mois que j'pisse dans le noir","J'essaye, j'essaye"
"Si c'est marqué sur internet, c'est p't-être faux mais c'est p't-être vrai ",Basique
L'histoire s'écrit en tournant les pages,Notes pour trop tard
"Quand j'étais plus jeune j'avais des rêves, maintenant j'ai des regrets","J'essaye, j'essaye"
"J'baise ta meuf et j'me fais des pâtes, pour partir plus vite, j'respecte même pas l'temps d'cuisson",Zone
"Tout c'que j'voulais, c'était fuir la routine mais c'est devenu la routine",Déchiré
